a large number of,many,
a number of,some,
Ab initio,from the start,
Abandonment,give up,
Abatement,cancel,
Abduction,take,
abetting ,help commit a crime,
Abovementioned,,
Abscond ,flee,
Absolute discharge,released,
Absolute owner ,sole owner,
Abstract of title ,title,
Abuttals ,borders,
accord,give,
accord respect to,respect,
acquire,get,
Acquit ,not guilty,
Acquittal ,not charged,
Actus reus,illegal,
Ad hoc,for a specific purpose,
Ad idem ,in agreement,
Ad infinitum ,forever,
Ad valorem ,proportional,
additional,more,
additionally,also,
Ademption,does not exist,
adjacent to,next to,
Adjourned sine die,leave,
Adjournment,postpone,
adjudicate,judge,
Admission,agreement,
advert to,mention,
Affidavit,statement,
afforded,given,
aforementioned,,
Aiding,help commit a crime,
Alias ,false name,
All and sundry ,everybody,
Allegation,unproved statement,
Amalgamation,combining,
Ambiguity,unclear,
ambit,reach,
Ambulatory,living document,
amidst,amid,
amongst,among,
Annul ,invalidate,
Ante ,cancel,
Antecedents ,background,
Antenuptial,premarital agreement,
any and all,all,
Appeal,ask to overturn,
applicable,,
approximately,about,
as to,about,
ascertain,find out,
assist,help,
at present,now,
at the place,where,
at the present time,now,
at this point in time,now,
at this time,now,
attempt,try,
Audit ,examination,
be effective,start,
because of the fact that,because,
Bench warrant ,warrant of arrest,
Beneficiary,someone who benefits,
Bequeath ,to leave something,
Bona fide ,genuine,
Bona vacantia ,not owned,
by and between,by,
capital,money,
Capital gain,profits off assets,
Caveat,warning,
cease,stop,
cease and desist,stop,
Charge,formal accusation ,
circumstances in which,when,
Citation ,notice,
Claim ,demand remedy,
Claimant ,the person making a claim,
Clause ,section,
Coerced,forced,
Coercion,force,
cognizant of,knows,
Collateral ,extra security,
commence,start,
conceal,hide,
concerning the matter of,about,
consensus of opinion,consensus,
consequence,result,
Contempt of court ,misbehvaing,
contiguous to,next to,
Corpus delicti,evidence,
covenants,agreements,
Creditor,a person you owe money to,
Culpa,at fault,
Cum dividend ,with dividend,
De facto,in fact,
De jure ,rightfully,
Debt ,money owed,
Debtor ,the one who owes money,
Decree,order,
Deed ,document of ownership,
demonstrate,show,
Dependant ,financially reliant,
Depreciation,drop in value,
desire,want,
despite the fact that,although,
Discharge ,release,
does not operate to,does not,
donate,give,
due to,because,
due to the fact that,because,
during the course of,during,
during the time that,while,
e.g.,for example,
Easement,right of way,
echelon,level,
elucidate,explain,
endeavor (verb),try,
Estate ,all assets ,
evince,show,
Ex gratia,a favor,
Ex parte ,without notice,
Ex post facto,restroactive,
excessive number of,too many,
exclusively,only,
execute,make,
executed,made,
exit (verb),leave,
expressly,,
facilitate,help,
firstly,first,
for the duration of,during,
for the purpose of doing,to do,
for the reason that,because,
Forbearance,refraining pursuit,
Force majeure,unforeseeable circumstances,
Foreclosure ,repossession,
Forfeiture,loss of property,
forthwith,immediately,
frequently,often,
fundamental,basic,
Habeas corpus,order to release,
has a negative impact,hurts,
hereby,,
herein,,
hereinabove,above,
hereinafter,below,
hereinbefore,above,
hereto,,
heretofore,,
hereunder,under this agreement,
I would argue that / it is arguable that / it could be argued that,,
i.e.,in other words,
in a case in which,when,
in accordance with,by,
in accordance with,by,
in any manner whatsoever,,
in close proximity,near,
in lieu of,instead of,
in light of the fact that,"because, given that",
in order to,to,
in point of fact,,
in reference to,about,
in regard to,about,
in respect of,with,
in respect to ,with,
in the course of,during,
in the event that,if,
IN WITNESS WHEREOF,Signed,
indicate,show,
Indict,accuse,
individual,person,noun
inquire,ask,
instant case,here,
inter alia,among other things,
is able to,can,
is binding on,binds,
is desirous of,wants,
is dispositive of,disposes of,
is unable to,cannot,
it has been determined that,,
it is apparent that,,
it is clear that,,
it should be noted that,,
joint,shared,
KNOW YE BY ALL MEN PRESENT,,
literally,,
Litigation,legal action,
locate,find,
manner,way,
Mens rea,intent to commit a crime,
methodology,method,
modify,change,
mutatis mutandis,with the necessary changes,
negatively affect,hurt,
notify,tell,
notwithstanding,despite,
null and void,void,
numerous,many,
objective (noun),goal,
observe,watch,
obtain,get,
on a number of occasions,often,
on the part of,by,
owing to the fact that,because,
pari passu,equally,
per,by,
per annum,per year,
Per pro,on behalf of,
Per quod,in accordance with,
Per se,in itself,
period of time,time,
Perjury,lying,
permit,allow,
permit,allow,
permitted,allowed,
Personal Representative,representative of the estate,
personnel,people,
point in time,time,
portion,part,
possess,have,
prima facie,it appears,
prior to,before,
Pro rata,in proportion,
Probate,estate authority,
procure,get,
provide,give,
provided that,if,
provision [of the agreement],term,
provision of law,law,
purchase,buy,
pursuant to,under,
rate of speed,speed,
referred to as,called,
registrar ,official,
remainder,rest,
render assistance,help,
request (verb),ask,
require,need,
Res ipsa loquitur,the facts speak for themselves.,
retain,keep,
secondly,second,
"sell, transfer, and assign",sell,
set forth,,
shall,will,
Sine die,indefinitely,
Statute of limitation,time limit,
Sub judice,cannot be discussed outside of court,
Subpoena,summon information,
subsequent,later,
subsequent to,after,
subsequently,after,
substantiate,prove,
sufficient,enough,
sufficient number of,enough,
Supra,above,
terminate,end,
termination,ending,
the case at bar,this case,
the fact that,that,
the instant case,this case,
the manner in which,how,
thereafter,later in it,
therein,from,
thereof,of that,
thereto,about,
this case is distinguishable,this case is different,
to the effect that,that,
Tort,cause harm ,
Trust,financial agreement,
Uberrimae fidei,of the utmost good faith,
Ultra vires,beyond one's powers,
until such time as,until,
upon,on,
utilize,use,
very,,
ward,protected minor,
was aware,knew,
whereas,,
wherein,in the,
whilst,while,
with respect to,in connection with,
writ,order,
writ of certiorari ,order to review,